language,category,category_prevalence,subcategory,subcategory_percentage
Java,Best Practices,1/1,JUnit4TestShouldUseTestAnnotation,37.6%
Java,Best Practices,1/1,MissingOverride,22.1%
Java,Best Practices,1/1,SystemPrintln,20.7%
Java,Multithreading,1/1,UseConcurrentHashMap,75.0%
Java,Multithreading,1/1,UseNotifyAllInsteadOfNotify,16.7%
Java,Multithreading,1/1,AvoidSynchronizedAtMethodLevel,8.3%
Java,Code Style,1/1,ShortClassName,25.8%
Java,Code Style,1/1,ShortMethodName,18.3%
Java,Code Style,1/1,AtLeastOneConstructor,13.6%
Java,Design,1/1,SignatureDeclareThrowsException,34.7%
Java,Design,1/1,AbstractClassWithoutAnyMethod,28.2%
Java,Design,1/1,MutableStaticState,13.8%
Java,Documentation,1/1,CommentRequired,88.1%
Java,Documentation,1/1,UncommentedEmptyMethodBody,10.6%
Java,Documentation,1/1,CommentSize,0.9%
Java,Error Prone,1/1,AvoidDuplicateLiterals,20.0%
Java,Error Prone,1/1,AvoidLiteralsInIfCondition,14.3%
Java,Error Prone,1/1,MissingStaticMethodInNonInstantiatableClass,11.4%
Java,Performance,1/1,AvoidInstantiatingObjectsInLoops,75.7%
Java,Performance,1/1,AvoidFileStream,11.4%
Java,Performance,1/1,OptimizableToArrayCall,8.6%
